TimeStamp,SensorData_Name,SensorData_humidity,SensorData_temperature,SensorData_light,SensorData_barometric_pressure
2025-03-01 03:39:00+00:00,Temp_N_3_out,99.99,3.46,0.0,943.55
2025-03-01 03:39:00+00:00,Temp_S_3_out,99.99,3.53,0.0,943.0
2025-03-01 03:39:00+00:00,Temp_S_2_out,99.99,3.51,0.0,942.98
2025-03-01 03:39:00+00:00,Temp_N_2_in,99.99,3.63,0.0,943.4
2025-03-01 03:39:00+00:00,Temp_N_3_in,99.99,3.62,0.0,943.13
2025-03-01 03:39:00+00:00,Rad_S_1_in,0.0,2.49,0.0,942.6
2025-03-01 03:39:00+00:00,Temp_N_1_in,99.99,3.61,727.68,942.46
2025-03-01 03:39:00+00:00,Temp_S_1_out,99.99,3.52,0.0,942.4
2025-03-01 03:39:00+00:00,Temp_S_3_in,99.99,3.7,0.0,942.96
2025-03-01 03:39:00+00:00,Rad_S_1_out,27.27,2.97,0.0,943.64
2025-03-01 03:39:00+00:00,Rad_S_3_out,99.99,2.9,0.0,943.32
2025-03-01 03:39:00+00:00,Rad_N_1_out,99.99,3.06,0.0,942.18
2025-03-01 03:39:00+00:00,Temp_N_2_out,99.99,3.77,0.0,943.6
2025-03-01 03:39:00+00:00,Rad_N_3_in,99.99,2.92,0.0,933.14
2025-03-01 03:42:00+00:00,Rad_S_1_in,0.0,2.56,0.0,942.63
2025-03-01 03:42:00+00:00,Rad_N_1_out,99.99,3.11,0.0,942.15
2025-03-01 03:42:00+00:00,Temp_S_3_out,99.99,3.62,0.0,942.92
2025-03-01 03:42:00+00:00,Rad_S_3_in,99.99,2.99,0.0,943.64
2025-03-01 03:42:00+00:00,Temp_N_1_in,99.99,3.7,727.68,942.48
2025-03-01 03:42:00+00:00,Temp_N_3_out,99.99,3.52,0.0,943.53
2025-03-01 03:42:00+00:00,Temp_S_3_in,99.99,3.77,0.0,943.02
2025-03-01 03:42:00+00:00,Temp_S_1_out,99.99,3.6,0.0,942.43
2025-03-01 03:42:00+00:00,Temp_N_2_in,99.99,3.73,0.0,943.4
2025-03-01 03:42:00+00:00,Temp_S_2_out,99.99,3.59,0.0,943.01
2025-03-01 03:42:00+00:00,Rad_N_3_in,99.99,3.03,0.0,933.17
2025-03-01 03:42:00+00:00,Temp_N_3_in,99.99,3.7,0.0,943.07
2025-03-01 03:42:00+00:00,Temp_N_2_out,99.99,3.83,0.0,943.66
2025-03-01 03:42:00+00:00,Rad_S_1_out,26.98,3.09,0.0,943.69
2025-03-01 03:42:00+00:00,Rad_S_3_out,99.99,2.97,0.0,943.37
2025-03-01 03:45:00+00:00,Rad_N_1_out,99.99,3.13,0.0,942.26
2025-03-01 03:45:00+00:00,Rad_N_3_in,99.99,3.07,0.0,933.15
2025-03-01 03:45:00+00:00,Temp_S_2_out,99.99,3.63,0.0,943.04
2025-03-01 03:45:00+00:00,Rad_S_1_out,27.08,3.09,0.0,943.77
2025-03-01 03:45:00+00:00,Temp_N_1_in,99.99,3.75,727.68,942.45
2025-03-01 03:45:00+00:00,Temp_N_3_in,99.99,3.71,0.0,943.17
2025-03-01 03:45:00+00:00,Rad_S_1_in,0.0,2.68,0.0,942.65
2025-03-01 03:45:00+00:00,Temp_S_3_in,99.99,3.79,0.0,943.02
2025-03-01 03:45:00+00:00,Temp_S_1_out,99.99,3.6,0.0,942.5
2025-03-01 03:45:00+00:00,Temp_N_2_out,99.99,3.83,0.0,943.74
2025-03-01 03:45:00+00:00,Temp_N_2_in,99.99,3.72,0.0,943.5
2025-03-01 03:45:00+00:00,Rad_S_3_out,99.99,2.97,0.0,943.29
2025-03-01 03:45:00+00:00,Temp_N_3_out,99.99,3.53,0.0,943.55
2025-03-01 03:45:00+00:00,Temp_S_3_out,99.99,3.63,0.0,942.96
2025-03-01 03:45:00+00:00,Rad_S_3_in,99.99,3.02,0.0,943.69
2025-03-01 03:48:00+00:00,Temp_S_3_in,99.99,3.78,0.0,943.02
